Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
0,242.98,81.47,2.3083,1800,1800,0,0
1,216.55,82.07,1.5,1110,1110,0,0
2,238.67,80.2,2.1306,1465,1465,0,0
3,234.95,77.53,1.7139,1700,1700,0,0
4,203.15,80.33,2.1306,755,755,0,0
5,147.13,74.6,2.3065,928,928,0,0
6,186.98,76.53,1.7667,2085,2085,0,0
7,262.78,73.27,2.425,1870,1870,0,0
8,163.86,81.53,2.3389,730,730,0,0
9,223.88,73.07,1.1111,2190,2190,0,0
10,172.1,80.07,2.4694,1160,1160,0,0
11,173.84,78.53,1.5282,471,471,0,0
12,198.87,79.4,1.9222,2050,2050,0,0
13,280.48,79.47,0.5972,2195,2195,0,0
14,200.86,84.07,1.8222,2045,2045,0,0
15,278.72,75.0,2.4417,1820,1820,0,0
16,229.86,81.27,2.2,1295,1295,0,0
17,128.15,78.87,1.7782,815,815,0,0
18,187.8,75.33,1.2889,1970,1970,0,0
19,236.42,82.0,0.7778,1240,1240,0,0
20,141.6,87.47,1.8583,1460,1460,0,0
21,230.98,81.87,0.8944,1605,1605,0,0
22,219.44,82.87,2.8056,1385,1385,0,0
23,167.39,77.47,2.2258,981,981,0,0
24,206.56,83.53,2.025,1415,1415,0,0
25,207.45,83.27,1.5833,1945,1945,0,0
26,222.24,85.07,1.7556,1445,1445,0,0
27,267.54,80.0,1.0583,1610,1610,0,0
28,222.75,82.0,2.3917,990,990,0,0
29,176.86,77.07,1.5565,1158,1158,0,0
30,189.9,80.8,2.9917,1735,1735,0,0
31,194.14,75.93,1.7389,1660,1660,0,0
32,195.68,82.4,1.8861,1370,1370,0,0
33,152.68,79.8,3.2306,1305,1305,0,0
34,188.05,81.4,2.0333,1850,1850,0,0
35,130.56,77.33,4.1573,1111,1111,0,0
36,173.14,78.0,1.4083,1535,1535,0,0
37,163.12,78.07,1.2778,1280,1280,0,0
38,211.16,80.8,2.3333,1675,1675,0,0
39,170.89,79.67,1.6361,1600,1600,0,0
40,182.39,85.73,3.0306,1135,1135,0,0
41,148.69,73.87,2.3427,1084,1084,0,0
42,186.18,78.0,1.7722,1645,1645,0,0
43,199.05,80.47,1.0833,1230,1230,0,0
44,255.11,78.6,0.6806,1725,1725,0,0
45,198.73,86.27,1.6167,1410,1410,0,0
46,192.26,78.13,1.6611,1215,1215,0,0
47,168.97,77.33,1.8508,1247,1247,0,0
48,264.11,71.0,1.1333,2220,2220,0,0
49,223.68,80.73,1.0167,1940,1940,0,0
50,171.16,84.53,1.7806,1390,1390,0,0
51,211.25,80.6,1.2056,1595,1595,0,0
52,262.43,79.4,0.9361,1250,1250,0,0
53,135.03,76.8,2.3831,777,777,0,0
54,180.96,79.67,3.1694,1430,1430,0,0
55,274.84,82.27,1.2417,1495,1495,0,0
56,227.94,81.33,1.9417,1435,1435,0,0
57,255.51,73.87,0.9417,1315,1315,0,0
58,193.53,78.4,3.7111,1365,1365,0,0
59,117.19,76.27,3.9879,760,760,0,0
60,230.87,72.07,2.1,1345,1345,0,0
61,227.08,76.73,1.2194,2375,2375,0,0
62,223.97,79.53,1.0722,2290,2290,0,0
63,269.24,78.0,1.9861,1815,1815,0,0
64,225.55,76.0,1.3722,1585,1585,0,0
65,164.1,77.6,4.2863,866,866,0,0
66,219.62,79.93,4.6861,1560,1560,0,0
67,222.97,81.87,1.3917,1510,1510,0,0
68,236.84,78.93,2.7611,1670,1670,0,0
69,217.24,76.27,2.1306,2195,2195,0,0
70,258.69,83.13,2.5556,1460,1460,0,0
71,166.97,73.53,2.6573,839,839,0,0
72,241.49,78.93,1.1944,2185,2185,0,0
73,237.18,74.2,1.825,2105,2105,0,0
74,263.87,75.13,1.6722,1500,1500,0,0
75,243.37,76.87,1.6361,2825,2825,0,0
76,258.47,78.6,2.6528,730,730,0,0
77,156.12,77.93,3.4637,1029,1029,0,0
78,230.58,81.4,0.7389,1515,1515,0,0
79,238.22,80.27,0.9722,1460,1460,0,0
80,232.35,80.73,1.6389,1465,1465,0,0
