Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
0,288.03,65.8,1.0694,0,0,0,2226
1,302.76,70.4,1.2222,0,0,0,2477
2,263.65,72.53,5.4833,0,0,0,1933
3,302.26,68.27,2.6194,0,0,0,2726
4,305.33,63.53,6.1889,0,0,0,2302
5,334.36,64.0,3.0667,0,0,0,2029
6,344.41,50.67,14.45,0,0,0,1581
7,291.74,64.0,10.8111,0,0,0,816
8,222.37,50.67,31.45,0,0,0,218
9,327.02,50.67,16.7944,0,0,0,675
10,348.21,37.33,26.9333,0,0,0,119
11,346.26,50.67,14.1889,0,0,0,384
12,283.17,37.33,33.6778,0,0,0,0
13,264.99,50.67,25.5278,0,0,0,341
14,285.54,59.0,11.1,0,0,0,868
15,231.61,50.67,30.3,0,0,0,249
16,276.92,64.0,13.4333,0,0,0,506
17,272.95,50.67,24.4722,0,0,0,617
18,226.09,50.67,31.0778,0,0,0,73
19,331.31,37.33,28.7111,0,0,0,290
20,355.44,35.67,26.2556,0,0,0,458
21,352.94,50.67,13.25,0,0,0,712
22,357.11,24.0,39.3833,0,0,0,0
23,251.6,34.47,38.9,0,0,0,15
24,357.11,24.0,39.3833,0,0,0,0
25,357.11,24.0,39.3833,0,0,0,0
26,342.72,37.33,27.5278,0,0,0,322
27,329.86,37.33,28.8611,0,0,0,286
28,271.74,37.33,34.7889,0,0,0,234
29,269.52,33.33,37.7111,0,0,0,91
30,354.61,37.33,26.2611,0,0,0,357
31,353.54,37.33,26.2778,0,0,0,10
32,354.61,37.33,26.2611,0,0,0,423
33,307.79,64.0,8.0222,0,0,0,537
34,308.4,64.0,7.85,0,0,0,600
35,357.11,24.0,39.3833,0,0,0,0
36,357.11,24.0,39.3833,0,0,0,0
37,241.07,37.33,38.0444,0,0,0,38
38,275.22,37.33,34.5278,0,0,0,133
39,294.64,37.33,32.4889,0,0,0,188
40,261.05,37.33,35.9722,0,0,0,94
41,276.0,50.67,24.0778,0,0,0,417
42,353.7,50.67,13.1333,0,0,0,716
43,276.08,50.67,24.0667,0,0,0,203
44,261.12,64.0,16.2556,0,0,0,721
