Run,Seed,Total_Arrivals,Total_Charged,Total_Left_Uncharged,Success_Rate_%,Avg_Revenue,Avg_Energy_kWh,Avg_Power_kW,Avg_Station_Utilization_%,Total_Violations,Violation_Rate_%
1,3047,203431,184111,15204,90.54,12468.18,11376.26,147.08,51.38,0,0.0
2,294,203781,183963,15665,90.3,12432.68,11349.66,146.8,50.92,0,0.0
3,714,203738,184203,15347,90.45,12471.61,11383.72,147.29,52.78,0,0.0
4,1092,204043,184010,15829,90.18,12439.16,11360.46,146.13,52.0,0,0.0
5,1386,204127,184078,15811,90.23,12445.72,11364.47,146.86,52.68,0,0.0
6,2856,203660,184184,15352,90.48,12457.8,11367.28,147.18,52.58,0,0.0
7,42,203849,184285,15296,90.45,12447.19,11368.91,147.18,52.3,0,0.0
8,114514,203944,184370,15363,90.45,12487.7,11391.38,146.93,52.38,0,0.0
9,2025,204020,184481,15458,90.47,12456.92,11365.38,147.11,51.5,0,0.0
10,1993,203359,183938,15287,90.49,12448.32,11356.75,146.91,52.56,0,0.0
