Run,Seed,Episode,Total_Arrivals,Vehicles_Charged,Vehicles_Left_Uncharged,Charging_Success_Rate_%,Fully_Charged_Vehicles,Cumulative_Revenue,Energy_Delivered_kWh,Average_Power_kW,Station_Utilization_%,Constraint_Violations,Violation_Rate_%
1,3047,0,205,189,14,92.2,189,11795.75,11350.0,150.0,20.0,0,0.0
1,3047,1,192,175,14,91.15,175,11021.75,10662.5,150.0,60.0,0,0.0
1,3047,2,196,177,12,90.31,177,11242.75,10975.0,150.0,80.0,0,0.0
1,3047,3,221,192,24,86.88,192,12320.75,11650.0,150.0,40.0,0,0.0
1,3047,4,207,185,19,89.37,185,11976.25,11400.0,150.0,40.0,0,0.0
1,3047,5,204,181,17,88.73,181,11768.25,11212.5,150.0,60.0,0,0.0
1,3047,6,214,194,14,90.65,194,12648.25,12087.5,150.0,100.0,0,0.0
1,3047,7,204,188,13,92.16,188,12192.75,11337.5,150.0,0.0,0,0.0
1,3047,8,216,193,19,89.35,193,12793.5,12025.0,150.0,60.0,0,0.0
1,3047,9,204,194,10,95.1,194,12065.5,11550.0,150.0,0.0,0,0.0
1,3047,10,198,183,13,92.42,183,12869.25,11975.0,150.0,20.0,0,0.0
1,3047,11,212,190,18,89.62,190,12330.5,11937.5,150.0,40.0,0,0.0
1,3047,12,213,188,19,88.26,188,12301.0,11675.0,150.0,60.0,0,0.0
1,3047,13,197,172,17,87.31,172,11670.0,11087.5,150.0,60.0,0,0.0
1,3047,14,199,186,12,93.47,186,12024.25,11350.0,150.0,20.0,0,0.0
1,3047,15,201,182,16,90.55,182,11927.25,11200.0,150.0,60.0,0,0.0
1,3047,16,220,196,23,89.09,196,13146.75,12250.0,150.0,20.0,0,0.0
1,3047,17,177,163,11,92.09,163,10730.5,10112.5,150.0,20.0,0,0.0
1,3047,18,196,186,7,94.9,186,12027.0,11200.0,150.0,60.0,0,0.0
1,3047,19,195,179,12,91.79,179,11614.0,10937.5,150.0,60.0,0,0.0
1,3047,20,219,197,17,89.95,197,12691.75,12125.0,150.0,40.0,0,0.0
1,3047,21,207,186,14,89.86,186,11969.75,11437.5,150.0,80.0,0,0.0
1,3047,22,197,182,10,92.39,182,11610.5,11125.0,150.0,60.0,0,0.0
1,3047,23,215,192,16,89.3,192,12595.25,12087.5,150.0,80.0,0,0.0
1,3047,24,195,178,12,91.28,178,12479.25,11637.5,150.0,60.0,0,0.0
1,3047,25,208,190,12,91.35,190,12476.25,11862.5,150.0,60.0,0,0.0
1,3047,26,220,203,15,92.27,203,12644.0,11987.5,150.0,40.0,0,0.0
1,3047,27,185,167,11,90.27,167,10199.0,9962.5,150.0,80.0,0,0.0
1,3047,28,203,186,12,91.63,186,12597.25,11650.0,150.0,40.0,0,0.0
1,3047,29,230,209,17,90.87,209,13307.75,12412.5,150.0,40.0,0,0.0
1,3047,30,207,183,18,88.41,183,11689.0,11400.0,150.0,80.0,0,0.0
1,3047,31,203,189,13,93.1,189,11851.0,11075.0,150.0,20.0,0,0.0
1,3047,32,178,162,13,91.01,162,10470.0,9862.5,150.0,40.0,0,0.0
1,3047,33,190,176,9,92.63,176,11278.5,10700.0,150.0,40.0,0,0.0
1,3047,34,182,171,9,93.96,171,10949.75,10412.5,150.0,40.0,0,0.0
1,3047,35,189,172,13,91.01,172,11643.5,10900.0,150.0,60.0,0,0.0
