Run,Seed,Total_Arrivals,Total_Charged,Total_Left_Uncharged,Success_Rate_%,Avg_Revenue,Avg_Energy_kWh,Avg_Power_kW,Avg_Station_Utilization_%,Total_Violations,Violation_Rate_%
1,3047,40992,37149,2985,90.68,12105.27,11476.19,150.0,53.2,0,0.0
2,294,40707,36895,2974,90.68,12027.28,11395.06,150.0,53.3,0,0.0
3,714,41009,37154,3075,90.64,12183.71,11518.12,150.0,47.9,0,0.0
4,1092,40900,36966,3083,90.43,12021.66,11400.12,150.0,53.4,0,0.0
5,1386,41324,37327,3162,90.37,12200.42,11540.56,150.0,51.4,0,0.0
6,2856,40698,36920,2976,90.77,12047.3,11403.81,150.0,48.8,0,0.0
7,42,41064,37269,2989,90.81,12194.92,11535.56,150.0,50.2,0,0.0
8,114514,41164,37280,3046,90.62,12187.71,11520.0,150.0,51.2,0,0.0
9,2025,40623,36857,2967,90.77,12002.93,11379.06,150.0,51.5,0,0.0
10,1993,40761,36980,2969,90.77,12041.22,11395.69,150.0,50.0,0,0.0
