Run,Seed,Total_Arrivals,Total_Charged,Total_Left_Uncharged,Success_Rate_%,Avg_Revenue,Avg_Energy_kWh,Avg_Power_kW,Avg_Station_Utilization_%,Total_Violations,Violation_Rate_%,Final_Epsilon,Avg_Q_Loss,Avg_Param_Loss
1,3047,207619,135193,68477,65.28,9083.13,8310.59,132.92,45.98,72491,32.72,N/A,N/A,N/A
2,294,207832,154587,49267,74.44,10457.32,9549.53,142.09,46.26,44651,21.36,N/A,N/A,N/A
3,714,206861,152486,50295,73.76,10295.78,9405.31,137.95,48.42,46491,22.24,N/A,N/A,N/A
4,1092,206776,150250,52416,72.63,10146.14,9277.32,134.03,48.92,47950,23.12,N/A,N/A,N/A
5,1386,207474,151031,52427,72.78,10196.42,9320.56,135.94,47.98,48356,23.28,N/A,N/A,N/A
6,2856,204868,147531,53195,71.8,9969.9,9119.2,130.91,51.26,46604,23.26,N/A,N/A,N/A
7,42,206725,151497,51184,73.24,10229.06,9344.43,135.51,47.6,47101,22.65,N/A,N/A,N/A
8,114514,203987,143371,56292,70.21,9636.68,8806.89,124.12,53.64,52202,25.38,N/A,N/A,N/A
9,2025,205654,148928,52648,72.41,10075.99,9204.48,132.2,48.28,49598,23.94,N/A,N/A,N/A
10,1993,182211,91291,85351,50.23,5883.28,5442.21,57.14,79.18,46372,29.72,N/A,N/A,N/A
