scale,algorithm,makespan,total_energy
50,Cross-opt,827.000061,1428.850000
50,Energy-opt,1144.500366,1399.800000
100,Cross-opt,1653.999268,2857.700000
100,Energy-opt,2289.000977,2799.600000
150,Cross-opt,2480.999756,4286.550000
150,Energy-opt,3433.501709,4199.400000
200,Cross-opt,3308.001709,5715.400000
200,Energy-opt,4578.000000,5599.200000
250,Cross-opt,4135.003418,7144.250000
250,Energy-opt,5722.494629,6999.000000
300,Cross-opt,4962.005371,8573.100000
300,Energy-opt,6866.989258,8398.800000
350,Cross-opt,5822.087402,10134.270313
350,Energy-opt,8011.483887,9798.600000
400,Cross-opt,6616.009277,11430.800000
400,Energy-opt,9155.989258,11198.400000
450,Cross-opt,7443.011230,12859.650000
450,Energy-opt,10346.276367,12781.321094
500,Cross-opt,8270.012695,14288.500000
500,Energy-opt,11445.002930,13998.000000
550,Cross-opt,9097.014648,15717.350000
550,Energy-opt,12635.290039,15580.921094
600,Cross-opt,9990.176758,17410.840625
600,Energy-opt,13779.796875,16980.721094
650,Cross-opt,10784.098633,18707.370312
650,Energy-opt,14878.523438,18197.400000
700,Cross-opt,11611.100586,20136.220312
700,Energy-opt,16068.810547,19780.321094
750,Cross-opt,12438.102539,21565.070313
750,Energy-opt,17213.298828,21180.117187
800,Cross-opt,13232.024414,22861.600000
800,Energy-opt,18312.001953,22396.800000
850,Cross-opt,14092.106445,24422.770313
850,Energy-opt,19502.263672,23979.717187
900,Cross-opt,14886.028320,25719.300000
900,Energy-opt,20692.525391,25562.634375
950,Cross-opt,15746.110352,27280.470313
950,Energy-opt,21837.007812,26962.434375
1000,Cross-opt,16540.031250,28577.000000
1000,Energy-opt,22889.931641,27996.000000
